Instance,#Args,#Attacks,AVG DEG,MED DEG,AVG IN,MED IN,AVG OUT,MED OUT
example.tgf,4,4,2.0,2.0,1.0,1.0,1.0,1.0
example1.tgf,3,2,1.3333333333333333,2.0,0.6666666666666666,1.0,0.6666666666666666,1.0
instance_858.tgf,4,6,3.0,2.0,1.5,1.0,1.5,2.0
example_cmsat.tgf,259,2468,19.057915057915057,20.0,9.528957528957529,10.0,9.528957528957529,9.0
instance_857.tgf,4,5,2.5,2.0,1.25,1.0,1.25,1.5
